seriesID,date,value
CES0000000001,2022-01-01,150014.0
CES0000000001,2022-02-01,150876.0
CES0000000001,2022-03-01,151370.0
CES0000000001,2022-04-01,151642.0
CES0000000001,2022-05-01,151928.0
CES0000000001,2022-06-01,152348.0
CES0000000001,2022-07-01,153038.0
CES0000000001,2022-08-01,153281.0
CES0000000001,2022-09-01,153536.0
CES0000000001,2022-10-01,153897.0
CES0000000001,2022-11-01,154155.0
CES0000000001,2022-12-01,154291.0
CES0000000001,2023-01-01,154773.0
CES0000000001,2023-02-01,155060.0
CES0000000001,2023-03-01,155206.0
CES0000000001,2023-04-01,155484.0
CES0000000001,2023-05-01,155787.0
CES0000000001,2023-06-01,156027.0
CES0000000001,2023-07-01,156211.0
CES0000000001,2023-08-01,156421.0
CES0000000001,2023-09-01,156667.0
CES0000000001,2023-10-01,156832.0
CES0000000001,2023-11-01,157014.0
CES0000000001,2023-12-01,157304.0
CES0000000001,2024-01-01,157560.0
CES0000000001,2024-02-01,157796.0
CES0000000001,2024-03-01,158106.0
CES0000000001,2024-04-01,158214.0
CES0000000001,2024-05-01,158430.0
CES0000000001,2024-06-01,158548.0
CES0000000001,2024-07-01,158692.0
CES0000000001,2024-08-01,158770.0
CES0000000001,2024-09-01,159025.0
CES0000000001,2024-10-01,159061.0
CES0000000001,2024-11-01,159288.0
CES0500000002,2022-01-01,34.5
CES0500000002,2022-02-01,34.7
CES0500000002,2022-03-01,34.7
CES0500000002,2022-04-01,34.7
CES0500000002,2022-05-01,34.6
CES0500000002,2022-06-01,34.6
CES0500000002,2022-07-01,34.6
CES0500000002,2022-08-01,34.5
CES0500000002,2022-09-01,34.6
CES0500000002,2022-10-01,34.6
CES0500000002,2022-11-01,34.5
CES0500000002,2022-12-01,34.4
CES0500000002,2023-01-01,34.6
CES0500000002,2023-02-01,34.5
CES0500000002,2023-03-01,34.4
CES0500000002,2023-04-01,34.3
CES0500000002,2023-05-01,34.4
CES0500000002,2023-06-01,34.4
CES0500000002,2023-07-01,34.3
CES0500000002,2023-08-01,34.4
CES0500000002,2023-09-01,34.4
CES0500000002,2023-10-01,34.3
CES0500000002,2023-11-01,34.4
CES0500000002,2023-12-01,34.4
CES0500000002,2024-01-01,34.2
CES0500000002,2024-02-01,34.3
CES0500000002,2024-03-01,34.4
CES0500000002,2024-04-01,34.3
CES0500000002,2024-05-01,34.3
CES0500000002,2024-06-01,34.3
CES0500000002,2024-07-01,34.2
CES0500000002,2024-08-01,34.3
CES0500000002,2024-09-01,34.3
CES0500000002,2024-10-01,34.2
CES0500000002,2024-11-01,34.3
LNS13000000,2022-01-01,6549.0
LNS13000000,2022-02-01,6279.0
LNS13000000,2022-03-01,5993.0
LNS13000000,2022-04-01,6034.0
LNS13000000,2022-05-01,5966.0
LNS13000000,2022-06-01,5984.0
LNS13000000,2022-07-01,5783.0
LNS13000000,2022-08-01,5983.0
LNS13000000,2022-09-01,5755.0
LNS13000000,2022-10-01,5950.0
LNS13000000,2022-11-01,5956.0
LNS13000000,2022-12-01,5698.0
LNS13000000,2023-01-01,5719.0
LNS13000000,2023-02-01,5962.0
LNS13000000,2023-03-01,5866.0
LNS13000000,2023-04-01,5715.0
LNS13000000,2023-05-01,6117.0
LNS13000000,2023-06-01,5997.0
LNS13000000,2023-07-01,5904.0
LNS13000000,2023-08-01,6340.0
LNS13000000,2023-09-01,6347.0
LNS13000000,2023-10-01,6443.0
LNS13000000,2023-11-01,6262.0
LNS13000000,2023-12-01,6268.0
LNS13000000,2024-01-01,6124.0
LNS13000000,2024-02-01,6458.0
LNS13000000,2024-03-01,6429.0
LNS13000000,2024-04-01,6492.0
LNS13000000,2024-05-01,6649.0
LNS13000000,2024-06-01,6811.0
LNS13000000,2024-07-01,7163.0
LNS13000000,2024-08-01,7115.0
LNS13000000,2024-09-01,6834.0
LNS13000000,2024-10-01,6984.0
LNS13000000,2024-11-01,7145.0
LNS14000000,2022-01-01,4.0
LNS14000000,2022-02-01,3.8
LNS14000000,2022-03-01,3.6
LNS14000000,2022-04-01,3.7
LNS14000000,2022-05-01,3.6
LNS14000000,2022-06-01,3.6
LNS14000000,2022-07-01,3.5
LNS14000000,2022-08-01,3.6
LNS14000000,2022-09-01,3.5
LNS14000000,2022-10-01,3.6
LNS14000000,2022-11-01,3.6
LNS14000000,2022-12-01,3.5
LNS14000000,2023-01-01,3.4
LNS14000000,2023-02-01,3.6
LNS14000000,2023-03-01,3.5
LNS14000000,2023-04-01,3.4
LNS14000000,2023-05-01,3.7
LNS14000000,2023-06-01,3.6
LNS14000000,2023-07-01,3.5
LNS14000000,2023-08-01,3.8
LNS14000000,2023-09-01,3.8
LNS14000000,2023-10-01,3.8
LNS14000000,2023-11-01,3.7
LNS14000000,2023-12-01,3.7
LNS14000000,2024-01-01,3.7
LNS14000000,2024-02-01,3.9
LNS14000000,2024-03-01,3.8
LNS14000000,2024-04-01,3.9
LNS14000000,2024-05-01,4.0
LNS14000000,2024-06-01,4.1
LNS14000000,2024-07-01,4.3
LNS14000000,2024-08-01,4.2
LNS14000000,2024-09-01,4.1
LNS14000000,2024-10-01,4.1
LNS14000000,2024-11-01,4.2
