year,period,periodName,latest,value,footnotes,seriesID
2024,M11,November,true,159288,"[{'code': 'P', 'text': 'preliminary'}]",CES0000000001
2024,M10,October,,159061,"[{'code': 'P', 'text': 'preliminary'}]",CES0000000001
2024,M09,September,,159025,[{}],CES0000000001
2024,M08,August,,158770,[{}],CES0000000001
2024,M07,July,,158692,[{}],CES0000000001
2024,M06,June,,158548,[{}],CES0000000001
2024,M05,May,,158430,[{}],CES0000000001
2024,M04,April,,158214,[{}],CES0000000001
2024,M03,March,,158106,[{}],CES0000000001
2024,M02,February,,157796,[{}],CES0000000001
2024,M01,January,,157560,[{}],CES0000000001
2023,M12,December,,157304,[{}],CES0000000001
2023,M11,November,,157014,[{}],CES0000000001
2023,M10,October,,156832,[{}],CES0000000001
2023,M09,September,,156667,[{}],CES0000000001
2023,M08,August,,156421,[{}],CES0000000001
2023,M07,July,,156211,[{}],CES0000000001
2023,M06,June,,156027,[{}],CES0000000001
2023,M05,May,,155787,[{}],CES0000000001
2023,M04,April,,155484,[{}],CES0000000001
2023,M03,March,,155206,[{}],CES0000000001
2023,M02,February,,155060,[{}],CES0000000001
2023,M01,January,,154773,[{}],CES0000000001
2022,M12,December,,154291,[{}],CES0000000001
2022,M11,November,,154155,[{}],CES0000000001
2022,M10,October,,153897,[{}],CES0000000001
2022,M09,September,,153536,[{}],CES0000000001
2022,M08,August,,153281,[{}],CES0000000001
2022,M07,July,,153038,[{}],CES0000000001
2022,M06,June,,152348,[{}],CES0000000001
2022,M05,May,,151928,[{}],CES0000000001
2022,M04,April,,151642,[{}],CES0000000001
2022,M03,March,,151370,[{}],CES0000000001
2022,M02,February,,150876,[{}],CES0000000001
2022,M01,January,,150014,[{}],CES0000000001
2024,M11,November,true,34.3,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000002
2024,M10,October,,34.2,"[{'code': 'P', 'text': 'preliminary'}]",CES0500000002
2024,M09,September,,34.3,[{}],CES0500000002
2024,M08,August,,34.3,[{}],CES0500000002
2024,M07,July,,34.2,[{}],CES0500000002
2024,M06,June,,34.3,[{}],CES0500000002
2024,M05,May,,34.3,[{}],CES0500000002
2024,M04,April,,34.3,[{}],CES0500000002
2024,M03,March,,34.4,[{}],CES0500000002
2024,M02,February,,34.3,[{}],CES0500000002
2024,M01,January,,34.2,[{}],CES0500000002
2023,M12,December,,34.4,[{}],CES0500000002
2023,M11,November,,34.4,[{}],CES0500000002
2023,M10,October,,34.3,[{}],CES0500000002
2023,M09,September,,34.4,[{}],CES0500000002
