date,seriesID,value
01-11-2024,CES0000000001,159288
01-10-2024,CES0000000001,159061
01-09-2024,CES0000000001,159025
01-08-2024,CES0000000001,158770
01-07-2024,CES0000000001,158692
01-06-2024,CES0000000001,158548
01-05-2024,CES0000000001,158430
01-04-2024,CES0000000001,158214
01-03-2024,CES0000000001,158106
01-02-2024,CES0000000001,157796
01-01-2024,CES0000000001,157560
01-12-2023,CES0000000001,157304
01-11-2023,CES0000000001,157014
01-10-2023,CES0000000001,156832
01-09-2023,CES0000000001,156667
01-08-2023,CES0000000001,156421
01-07-2023,CES0000000001,156211
01-06-2023,CES0000000001,156027
01-05-2023,CES0000000001,155787
01-04-2023,CES0000000001,155484
01-03-2023,CES0000000001,155206
01-02-2023,CES0000000001,155060
01-01-2023,CES0000000001,154773
01-12-2022,CES0000000001,154291
01-11-2022,CES0000000001,154155
01-10-2022,CES0000000001,153897
01-09-2022,CES0000000001,153536
01-08-2022,CES0000000001,153281
01-07-2022,CES0000000001,153038
01-06-2022,CES0000000001,152348
01-05-2022,CES0000000001,151928
01-04-2022,CES0000000001,151642
01-03-2022,CES0000000001,151370
01-02-2022,CES0000000001,150876
01-01-2022,CES0000000001,150014
01-11-2024,CES0500000002,34.3
01-10-2024,CES0500000002,34.2
01-09-2024,CES0500000002,34.3
01-08-2024,CES0500000002,34.3
01-07-2024,CES0500000002,34.2
01-06-2024,CES0500000002,34.3
01-05-2024,CES0500000002,34.3
01-04-2024,CES0500000002,34.3
01-03-2024,CES0500000002,34.4
01-02-2024,CES0500000002,34.3
01-01-2024,CES0500000002,34.2
01-12-2023,CES0500000002,34.4
01-11-2023,CES0500000002,34.4
01-10-2023,CES0500000002,34.3
01-09-2023,CES0500000002,34.4
01-08-2023,CES0500000002,34.4
01-07-2023,CES0500000002,34.3
01-06-2023,CES0500000002,34.4
01-05-2023,CES0500000002,34.4
01-04-2023,CES0500000002,34.3
01-03-2023,CES0500000002,34.4
01-02-2023,CES0500000002,34.5
01-01-2023,CES0500000002,34.6
01-12-2022,CES0500000002,34.4
01-11-2022,CES0500000002,34.5
01-10-2022,CES0500000002,34.6
01-09-2022,CES0500000002,34.6
01-08-2022,CES0500000002,34.5
01-07-2022,CES0500000002,34.6
01-06-2022,CES0500000002,34.6
01-05-2022,CES0500000002,34.6
01-04-2022,CES0500000002,34.7
01-03-2022,CES0500000002,34.7
01-02-2022,CES0500000002,34.7
01-01-2022,CES0500000002,34.5
01-11-2024,LNS14000000,4.2
01-10-2024,LNS14000000,4.1
01-09-2024,LNS14000000,4.1
01-08-2024,LNS14000000,4.2
01-07-2024,LNS14000000,4.3
01-06-2024,LNS14000000,4.1
01-05-2024,LNS14000000,4
01-04-2024,LNS14000000,3.9
01-03-2024,LNS14000000,3.8
01-02-2024,LNS14000000,3.9
01-01-2024,LNS14000000,3.7
01-12-2023,LNS14000000,3.7
01-11-2023,LNS14000000,3.7
01-10-2023,LNS14000000,3.8
01-09-2023,LNS14000000,3.8
01-08-2023,LNS14000000,3.8
01-07-2023,LNS14000000,3.5
01-06-2023,LNS14000000,3.6
01-05-2023,LNS14000000,3.7
01-04-2023,LNS14000000,3.4
01-03-2023,LNS14000000,3.5
01-02-2023,LNS14000000,3.6
01-01-2023,LNS14000000,3.4
01-12-2022,LNS14000000,3.5
01-11-2022,LNS14000000,3.6
01-10-2022,LNS14000000,3.6
01-09-2022,LNS14000000,3.5
01-08-2022,LNS14000000,3.6
01-07-2022,LNS14000000,3.5
01-06-2022,LNS14000000,3.6
01-05-2022,LNS14000000,3.6
01-04-2022,LNS14000000,3.7
01-03-2022,LNS14000000,3.6
01-02-2022,LNS14000000,3.8
01-01-2022,LNS14000000,4
01-11-2024,LNS13000000,7145
01-10-2024,LNS13000000,6984
01-09-2024,LNS13000000,6834
01-08-2024,LNS13000000,7115
01-07-2024,LNS13000000,7163
01-06-2024,LNS13000000,6811
01-05-2024,LNS13000000,6649
01-04-2024,LNS13000000,6492
01-03-2024,LNS13000000,6429
01-02-2024,LNS13000000,6458
01-01-2024,LNS13000000,6124
01-12-2023,LNS13000000,6268
01-11-2023,LNS13000000,6262
01-10-2023,LNS13000000,6443
01-09-2023,LNS13000000,6347
01-08-2023,LNS13000000,6340
01-07-2023,LNS13000000,5904
01-06-2023,LNS13000000,5997
01-05-2023,LNS13000000,6117
01-04-2023,LNS13000000,5715
01-03-2023,LNS13000000,5866
01-02-2023,LNS13000000,5962
01-01-2023,LNS13000000,5719
01-12-2022,LNS13000000,5698
01-11-2022,LNS13000000,5956
01-10-2022,LNS13000000,5950
01-09-2022,LNS13000000,5755
01-08-2022,LNS13000000,5983
01-07-2022,LNS13000000,5783
01-06-2022,LNS13000000,5984
01-05-2022,LNS13000000,5966
01-04-2022,LNS13000000,6034
01-03-2022,LNS13000000,5993
01-02-2022,LNS13000000,6279
01-01-2022,LNS13000000,6549
